,Site,Col_company,Col_Recruit,Col_detail,Col_url
0,Saramin,넛지헬스케어(주),[캐시워크] 데이터분석 담당 채용전환형 인턴,서울 강남구 신입 대졸↑ 인턴직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50202952&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
1,Saramin,(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 모집",서울 강남구 신입·경력 대졸↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50330710&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
2,Saramin,(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 인턴 모집",서울 강남구 경력무관 대졸↑ 인턴직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50361543&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
3,Saramin,(주)씨아이템프러리,현대카드 본사 카드금융마케팅팀 사무직 채용/데이터분석/마케팅,서울 영등포구 경력무관 학력무관 계약직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50354859&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
4,Saramin,(주)메이크인,[여의도/자체직전환/신입가능]나이스평가정보 데이터분석 채용,"서울 영등포구 경력무관 초대졸↑ 계약직·파견직 3,000 만원",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50295057&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
5,Saramin,(주)케이에스씨앤씨,[신입] 신용평가/금융데이터분석 컨설팅 인재 채용,서울 영등포구 신입 대졸↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50248252&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
6,Saramin,(주)멋쟁이사자처럼,[(주)멋쟁이자사처럼] KDT 데이터분석 부트캠프 보조강사,서울 종로구 경력무관 학력무관 프리랜서,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50235861&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
7,Saramin,한국가이던스,"[통계분석,사회조사분석,설문조사,데이터분석,리서치] 연구직",대구 달서구 신입·경력 대졸↑ 계약직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50310518&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
8,Saramin,한국평가데이터(주),[서비스운영 및 데이터분석] 2025년 한국평가데이터 계약직원,서울 영등포구 경력무관 대졸↑ 계약직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50158018&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
9,Saramin,로버트월터스코리아(주),[IT/데이터분석] Data Analyst,서울 중구 경력3년↑ 대졸↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50370820&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
10,Saramin,서울대학교병원,서울대학교병원 생체신호 머신러닝/데이터분석 연구원 채용,서울 종로구 경력무관 대졸↑ 무기계약직·계약직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49986277&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
11,Saramin,(주)싸인랩,[데이터분석] 데이터분석가 채용 공고,부산 부산진구 경력무관 학력무관 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50201890&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
12,Saramin,(주)퍼플아카데미,데이터분석가 신입/경력 채용,서울전체 신입·경력 대졸↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50187106&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
13,Saramin,한국호텔업협회,한국호텔업협회 대외협력팀 팀원(동향조사 및 데이터분석) 채용,서울 중구 경력무관 초대졸↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50327002&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
14,Saramin,(주)그루넷,데이터분석/Python/JAVA/SAS 인재 채용,서울 강남구 신입·경력 대졸↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50294794&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
15,Saramin,(주)라이브케어,[데이터분석가] 가축 생체데이터 분석 및 AI 개발 전,서울 강남구 신입 학력무관 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49979481&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
16,Saramin,쿠팡(주),[쿠팡로지스틱스서비스] 물류결함 데이터분석 담당자 (신입가능),서울 송파구 경력3년↑ 대졸↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50090658&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
17,Saramin,(주)지바이크,[공유모빌리티 No.1 지쿠] 전략마케팅팀 데이터분석 전문가 모집,서울 강남구 경력3년↑ 대졸↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49890333&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
18,Saramin,넛지헬스케어(주),[넛지헬스케어] 데이터분석가 - 석사/박사,서울 강남구 경력무관 석사↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50202924&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
19,Saramin,넛지헬스케어(주),[넛지헬스케어] 데이터분석 담당 산업기능요원 (병역특례),서울 강남구 경력무관 학력무관 산업기능요원·현역,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50202943&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
20,Saramin,(주)전북은행,데이터분석가 경력직 모집,전북 전주시 덕진구 경력10년↑ 대졸↑ 계약직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50320168&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
21,Saramin,한패스(주),[한패스(주)/데이터분석팀] Google Analytics 데이터분석가,서울 성동구 경력 대졸↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50187612&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
22,Saramin,닐슨아이큐서비스코리아(유),[데이터분석] Global Strategic Account Management팀,서울 중구 경력무관 대졸↑ 계약직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49965174&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
